lga,"lga_visible","short_name",name
VIC204,"VIC204 - Mornington Peninsula Shire","Mornington Peninsula","Mornington Peninsula Shire"
VIC93,"VIC93 - Greater Shepparton City","Greater Shepparton","Greater Shepparton City"
VIC200,"VIC200 - Yarriambiack Shire",Yarriambiack,"Yarriambiack Shire"
VIC209,"VIC209 - Knox City",Knox,"Knox City"
VIC205,"VIC205 - Darebin City",Darebin,"Darebin City"
VIC206,"VIC206 - Yarra Ranges Shire","Yarra Ranges","Yarra Ranges Shire"
VIC207,"VIC207 - Maroondah City",Maroondah,"Maroondah City"
VIC208,"VIC208 - Port Phillip City","Port Phillip","Port Phillip City"
VIC212,"VIC212 - Cardinia Shire",Cardinia,"Cardinia Shire"
VIC213,"VIC213 - Casey City",Casey,"Casey City"
VIC214,"VIC214 - Gannawarra Shire",Gannawarra,"Gannawarra Shire"
VIC215,"VIC215 - Greater Geelong City","Greater Geelong","Greater Geelong City"
VIC210,"VIC210 - Monash City",Monash,"Monash City"
VIC211,"VIC211 - Mitchell Shire",Mitchell,"Mitchell Shire"
VIC105,"VIC105 - Mount Alexander Shire","Mount Alexander","Mount Alexander Shire"
VIC216,"VIC216 - Nillumbik Shire",Nillumbik,"Nillumbik Shire"
VIC217,"VIC217 - Pyrenees Shire",Pyrenees,"Pyrenees Shire"
VIC218,"VIC218 - Wellington Shire",Wellington,"Wellington Shire"
VIC219,"VIC219 - Latrobe City",Latrobe,"Latrobe City"
VIC223,"VIC223 - Glenelg Shire",Glenelg,"Glenelg Shire"
VIC224,"VIC224 - Colac Otway Shire","Colac Otway","Colac Otway Shire"
VIC225,"VIC225 - Surf Coast Shire","Surf Coast","Surf Coast Shire"
VIC226,"VIC226 - Kingston City",Kingston,"Kingston City"
VIC220,"VIC220 - Ararat Rural City",Ararat,"Ararat Rural City"
VIC221,"VIC221 - Wyndham City",Wyndham,"Wyndham City"
VIC222,"VIC222 - Mildura Rural City",Mildura,"Mildura Rural City"
VIC110,"VIC110 - Strathbogie Shire",Strathbogie,"Strathbogie Shire"
VIC227,"VIC227 - Frankston City",Frankston,"Frankston City"
VIC228,"VIC228 - Macedon Ranges Shire","Macedon Ranges","Macedon Ranges Shire"
VIC229,"VIC229 - Moyne Shire",Moyne,"Moyne Shire"
VIC234,"VIC234 - Maribyrnong City",Maribyrnong,"Maribyrnong City"
VIC235,"VIC235 - Hobsons Bay City","Hobsons Bay","Hobsons Bay City"
VIC236,"VIC236 - Moorabool Shire",Moorabool,"Moorabool Shire"
VIC237,"VIC237 - Melton City",Melton,"Melton City"
VIC230,"VIC230 - Golden Plains Shire","Golden Plains","Golden Plains Shire"
VIC231,"VIC231 - Corangamite Shire",Corangamite,"Corangamite Shire"
VIC232,"VIC232 - West Wimmera Shire","West Wimmera","West Wimmera Shire"
VIC233,"VIC233 - Southern Grampians Shire","Southern Grampians","Southern Grampians Shire"
VIC121,"VIC121 - Moonee Valley City","Moonee Valley","Moonee Valley City"
VIC238,"VIC238 - Queenscliffe Borough",Queenscliffe,"Queenscliffe Borough"
VIC239,"VIC239 - Campaspe Shire",Campaspe,"Campaspe Shire"
VIC247,"VIC247 - Greater Dandenong City","Greater Dandenong","Greater Dandenong City"
VIC241,"VIC241 - Ballarat City",Ballarat,"Ballarat City"
VIC242,"VIC242 - Alpine Shire",Alpine,"Alpine Shire"
VIC243,"VIC243 - East Gippsland Shire","East Gippsland","East Gippsland Shire"
VIC244,"VIC244 - Mansfield Shire",Mansfield,"Mansfield Shire"
VIC131,"VIC131 - Moreland City",Moreland,"Moreland City"
VIC132,"VIC132 - Melbourne City",Melbourne,"Melbourne City"
VIC250,"VIC250 - Murrindindi Shire",Murrindindi,"Murrindindi Shire"
VIC153,"VIC153 - Horsham Rural City",Horsham,"Horsham Rural City"
VIC152,"VIC152 - Hindmarsh Shire",Hindmarsh,"Hindmarsh Shire"
VIC169,"VIC169 - Central Goldfields Shire","Central Goldfields","Central Goldfields Shire"
VIC166,"VIC166 - Northern Grampians Shire","Northern Grampians","Northern Grampians Shire"
VIC179,"VIC179 - Warrnambool City",Warrnambool,"Warrnambool City"
VIC177,"VIC177 - Glen Eira City","Glen Eira","Glen Eira City"
VIC178,"VIC178 - South Gippsland Shire","South Gippsland","South Gippsland Shire"
VIC173,"VIC173 - Bass Coast Shire","Bass Coast","Bass Coast Shire"
VIC186,"VIC186 - Wangaratta Rural City",Wangaratta,"Wangaratta Rural City"
VIC187,"VIC187 - Towong Shire",Towong,"Towong Shire"
VIC188,"VIC188 - Banyule City",Banyule,"Banyule City"
VIC189,"VIC189 - Brimbank City",Brimbank,"Brimbank City"
VIC182,"VIC182 - Bayside City",Bayside,"Bayside City"
VIC183,"VIC183 - Buloke Shire",Buloke,"Buloke Shire"
VIC185,"VIC185 - Loddon Shire",Loddon,"Loddon Shire"
VIC180,"VIC180 - Swan Hill Rural City","Swan Hill","Swan Hill Rural City"
VIC197,"VIC197 - Whittlesea City",Whittlesea,"Whittlesea City"
VIC198,"VIC198 - Hume City",Hume,"Hume City"
VIC199,"VIC199 - Benalla Rural City",Benalla,"Benalla Rural City"
VIC193,"VIC193 - Greater Bendigo City","Greater Bendigo","Greater Bendigo City"
VIC194,"VIC194 - Baw Baw Shire","Baw Baw","Baw Baw Shire"
VIC195,"VIC195 - Manningham City",Manningham,"Manningham City"
VIC196,"VIC196 - Whitehorse City",Whitehorse,"Whitehorse City"
VIC190,"VIC190 - Moira Shire",Moira,"Moira Shire"
VIC191,"VIC191 - Indigo Shire",Indigo,"Indigo Shire"
VIC192,"VIC192 - Wodonga City",Wodonga,"Wodonga City"
WA379,"WA379 - Shire Of Kent",Kent,"Shire Of Kent"
WA375,"WA375 - Town Of Mosman Park","Mosman Park","Town Of Mosman Park"
WA376,"WA376 - Town Of Cottesloe",Cottesloe,"Town Of Cottesloe"
WA377,"WA377 - Town Of Bassendean",Bassendean,"Town Of Bassendean"
WA378,"WA378 - Shire Of Mingenew",Mingenew,"Shire Of Mingenew"
WA382,"WA382 - City Of Kalgoorlie-Boulder","Kalgoorlie-Boulder","City Of Kalgoorlie-Boulder"
WA383,"WA383 - Shire Of Menzies",Menzies,"Shire Of Menzies"
WA384,"WA384 - Shire Of Morawa",Morawa,"Shire Of Morawa"
WA385,"WA385 - Shire Of Shark Bay","Shark Bay","Shire Of Shark Bay"
WA380,"WA380 - Shire Of Moora",Moora,"Shire Of Moora"
WA381,"WA381 - Shire Of Merredin",Merredin,"Shire Of Merredin"
WA386,"WA386 - Shire Of Northam",Northam,"Shire Of Northam"
WA387,"WA387 - Shire Of Carnamah",Carnamah,"Shire Of Carnamah"
WA388,"WA388 - Shire Of Toodyay",Toodyay,"Shire Of Toodyay"
WA389,"WA389 - Shire Of Cunderdin",Cunderdin,"Shire Of Cunderdin"
WA393,"WA393 - Shire Of Upper Gascoyne","Upper Gascoyne","Shire Of Upper Gascoyne"
WA394,"WA394 - Shire Of Mount Magnet","Mount Magnet","Shire Of Mount Magnet"
WA395,"WA395 - Shire Of Bruce Rock","Bruce Rock","Shire Of Bruce Rock"
WA396,"WA396 - Shire Of Wickepin",Wickepin,"Shire Of Wickepin"
WA390,"WA390 - Shire Of Wiluna",Wiluna,"Shire Of Wiluna"
WA391,"WA391 - Shire Of Tammin",Tammin,"Shire Of Tammin"
WA392,"WA392 - Shire Of Three Springs","Three Springs","Shire Of Three Springs"
WA286,"WA286 - Shire Of Narembeen",Narembeen,"Shire Of Narembeen"
WA397,"WA397 - Shire Of Chittering",Chittering,"Shire Of Chittering"
WA398,"WA398 - Shire Of Gnowangerup",Gnowangerup,"Shire Of Gnowangerup"
WA399,"WA399 - Shire Of Jerramungup",Jerramungup,"Shire Of Jerramungup"
WA287,"WA287 - Shire Of East Pilbara","East Pilbara","Shire Of East Pilbara"
WA288,"WA288 - Shire Of Cuballing",Cuballing,"Shire Of Cuballing"
WA294,"WA294 - Shire Of Dalwallinu",Dalwallinu,"Shire Of Dalwallinu"
WA295,"WA295 - Shire Of Woodanilling",Woodanilling,"Shire Of Woodanilling"
WA296,"WA296 - Shire Of Ravensthorpe",Ravensthorpe,"Shire Of Ravensthorpe"
WA290,"WA290 - Shire Of Wandering",Wandering,"Shire Of Wandering"
WA291,"WA291 - Shire Of Halls Creek","Halls Creek","Shire Of Halls Creek"
WA292,"WA292 - Shire Of Donnybrook-Balingup","Donnybrook-Balingup","Shire Of Donnybrook-Balingup"
WA293,"WA293 - Shire Of York",York,"Shire Of York"
WA298,"WA298 - Shire Of Narrogin",Narrogin,"Shire Of Narrogin"
WA299,"WA299 - Shire Of Ngaanyatjarraku",Ngaanyatjarraku,"Shire Of Ngaanyatjarraku"
WA416,"WA416 - City Of Fremantle",Fremantle,"City Of Fremantle"
WA417,"WA417 - Town Of Port Hedland","Port Hedland","Town Of Port Hedland"
WA418,"WA418 - Shire Of Northampton",Northampton,"Shire Of Northampton"
WA419,"WA419 - Shire Of Esperance",Esperance,"Shire Of Esperance"
WA412,"WA412 - Shire Of Boddington",Boddington,"Shire Of Boddington"
WA413,"WA413 - Shire Of Wagin",Wagin,"Shire Of Wagin"
WA414,"WA414 - Shire Of Kellerberrin",Kellerberrin,"Shire Of Kellerberrin"
WA415,"WA415 - Shire Of Derby-West Kimberley","Derby-West Kimberley","Shire Of Derby-West Kimberley"
WA410,"WA410 - Shire Of Lake Grace","Lake Grace","Shire Of Lake Grace"
WA411,"WA411 - Shire Of Bridgetown-Greenbushes","Bridgetown-Greenbushes","Shire Of Bridgetown-Greenbushes"
WA427,"WA427 - City Of Kalamunda",Kalamunda,"City Of Kalamunda"
WA428,"WA428 - Shire Of Augusta Margaret River","Augusta Margaret River","Shire Of Augusta Margaret River"
WA423,"WA423 - City Of Perth",Perth,"City Of Perth"
WA424,"WA424 - City Of Busselton",Busselton,"City Of Busselton"
WA425,"WA425 - City Of Kwinana",Kwinana,"City Of Kwinana"
WA426,"WA426 - City Of Karratha",Karratha,"City Of Karratha"
WA306,"WA306 - Shire Of Quairading",Quairading,"Shire Of Quairading"
WA307,"WA307 - City Of Nedlands",Nedlands,"City Of Nedlands"
WA420,"WA420 - Shire Of Manjimup",Manjimup,"Shire Of Manjimup"
WA308,"WA308 - City Of Rockingham",Rockingham,"City Of Rockingham"
WA421,"WA421 - Shire Of Wyndham-East Kimberley","Wyndham-East Kimberley","Shire Of Wyndham-East Kimberley"
WA309,"WA309 - City Of Wanneroo",Wanneroo,"City Of Wanneroo"
WA422,"WA422 - Shire Of Broome",Broome,"Shire Of Broome"
WA302,"WA302 - City Of Bunbury",Bunbury,"City Of Bunbury"
WA303,"WA303 - Shire Of Murchison",Murchison,"Shire Of Murchison"
WA304,"WA304 - Shire Of Plantagenet",Plantagenet,"Shire Of Plantagenet"
WA305,"WA305 - Shire Of Dumbleyung",Dumbleyung,"Shire Of Dumbleyung"
WA300,"WA300 - Shire Of Laverton",Laverton,"Shire Of Laverton"
WA301,"WA301 - Shire Of Goomalling",Goomalling,"Shire Of Goomalling"
WA317,"WA317 - City Of Canning",Canning,"City Of Canning"
WA318,"WA318 - City Of South Perth","South Perth","City Of South Perth"
WA319,"WA319 - Shire Of Mundaring",Mundaring,"Shire Of Mundaring"
WA313,"WA313 - City Of Swan",Swan,"City Of Swan"
WA314,"WA314 - City Of Bayswater",Bayswater,"City Of Bayswater"
WA315,"WA315 - Shire Of Serpentine-Jarrahdale","Serpentine-Jarrahdale","Shire Of Serpentine-Jarrahdale"
WA316,"WA316 - Town Of Victoria Park","Victoria Park","Town Of Victoria Park"
WA310,"WA310 - City Of Vincent",Vincent,"City Of Vincent"
WA311,"WA311 - City Of Cockburn",Cockburn,"City Of Cockburn"
WA312,"WA312 - City Of Melville",Melville,"City Of Melville"
WA328,"WA328 - Shire Of Victoria Plains","Victoria Plains","Shire Of Victoria Plains"
WA329,"WA329 - Shire Of Corrigin",Corrigin,"Shire Of Corrigin"
WA324,"WA324 - Shire Of Carnarvon",Carnarvon,"Shire Of Carnarvon"
WA325,"WA325 - Shire Of Chapman Valley","Chapman Valley","Shire Of Chapman Valley"
WA326,"WA326 - Shire Of Nannup",Nannup,"Shire Of Nannup"
WA327,"WA327 - Shire Of Wongan-ballidu","Wongan-ballidu","Shire Of Wongan-ballidu"
WA320,"WA320 - City Of Gosnells",Gosnells,"City Of Gosnells"
WA321,"WA321 - City Of Armadale",Armadale,"City Of Armadale"
WA322,"WA322 - Shire Of Exmouth",Exmouth,"Shire Of Exmouth"
WA323,"WA323 - Shire Of Ashburton",Ashburton,"Shire Of Ashburton"
WA330,"WA330 - Shire Of Coolgardie",Coolgardie,"Shire Of Coolgardie"
WA339,"WA339 - Shire Of Denmark",Denmark,"Shire Of Denmark"
WA335,"WA335 - Shire Of Wyalkatchem",Wyalkatchem,"Shire Of Wyalkatchem"
WA336,"WA336 - Shire Of Pingelly",Pingelly,"Shire Of Pingelly"
WA337,"WA337 - Shire Of Brookton",Brookton,"Shire Of Brookton"
WA338,"WA338 - Shire Of Dandaragan",Dandaragan,"Shire Of Dandaragan"
WA331,"WA331 - Shire Of Dundas",Dundas,"Shire Of Dundas"
WA332,"WA332 - Shire Of Westonia",Westonia,"Shire Of Westonia"
WA333,"WA333 - Shire Of Yilgarn",Yilgarn,"Shire Of Yilgarn"
WA334,"WA334 - City Of Stirling",Stirling,"City Of Stirling"
WA340,"WA340 - Shire Of Dardanup",Dardanup,"Shire Of Dardanup"
WA341,"WA341 - Shire Of Capel",Capel,"Shire Of Capel"
WA346,"WA346 - Shire Of West Arthur","West Arthur","Shire Of West Arthur"
WA347,"WA347 - Shire Of Boyup Brook","Boyup Brook","Shire Of Boyup Brook"
WA348,"WA348 - Shire Of Kojonup",Kojonup,"Shire Of Kojonup"
WA342,"WA342 - Shire Of Collie",Collie,"Shire Of Collie"
WA344,"WA344 - City Of Albany",Albany,"City Of Albany"
WA345,"WA345 - Shire Of Koorda",Koorda,"Shire Of Koorda"
WA350,"WA350 - City Of Mandurah",Mandurah,"City Of Mandurah"
WA351,"WA351 - Shire Of Meekatharra",Meekatharra,"Shire Of Meekatharra"
WA352,"WA352 - Shire Of Waroona",Waroona,"Shire Of Waroona"
WA357,"WA357 - Shire Of Coorow",Coorow,"Shire Of Coorow"
WA358,"WA358 - Shire Of Perenjori",Perenjori,"Shire Of Perenjori"
WA359,"WA359 - Shire Of Katanning",Katanning,"Shire Of Katanning"
WA353,"WA353 - Shire Of Murray",Murray,"Shire Of Murray"
WA354,"WA354 - Shire Of Mukinbudin",Mukinbudin,"Shire Of Mukinbudin"
WA355,"WA355 - Shire Of Trayning",Trayning,"Shire Of Trayning"
WA356,"WA356 - Shire Of Nungarin",Nungarin,"Shire Of Nungarin"
WA360,"WA360 - City Of Belmont",Belmont,"City Of Belmont"
WA361,"WA361 - Shire Of Cranbrook",Cranbrook,"Shire Of Cranbrook"
WA362,"WA362 - Shire Of Broomehill-Tambellup","Broomehill-Tambellup","Shire Of Broomehill-Tambellup"
WA368,"WA368 - Town Of Claremont",Claremont,"Town Of Claremont"
WA369,"WA369 - Town Of East Fremantle","East Fremantle","Town Of East Fremantle"
WA364,"WA364 - Shire Of Harvey",Harvey,"Shire Of Harvey"
WA365,"WA365 - City Of Greater Geraldton","Greater Geraldton","City Of Greater Geraldton"
WA366,"WA366 - Shire Of Kulin",Kulin,"Shire Of Kulin"
WA367,"WA367 - Shire Of Kondinin",Kondinin,"Shire Of Kondinin"
WA371,"WA371 - City Of Joondalup",Joondalup,"City Of Joondalup"
WA373,"WA373 - City Of Subiaco",Subiaco,"City Of Subiaco"
WA374,"WA374 - Shire Of Peppermint Grove","Peppermint Grove","Shire Of Peppermint Grove"
WA370,"WA370 - Town Of Cambridge",Cambridge,"Town Of Cambridge"
WA409,"WA409 - Shire Of Dowerin",Dowerin,"Shire Of Dowerin"
WA405,"WA405 - Shire Of Yalgoo",Yalgoo,"Shire Of Yalgoo"
WA406,"WA406 - Shire Of Mount Marshall","Mount Marshall","Shire Of Mount Marshall"
WA407,"WA407 - Shire Of Williams",Williams,"Shire Of Williams"
WA408,"WA408 - Shire Of Gingin",Gingin,"Shire Of Gingin"
WA401,"WA401 - Shire Of Irwin",Irwin,"Shire Of Irwin"
WA402,"WA402 - Shire Of Beverley",Beverley,"Shire Of Beverley"
WA403,"WA403 - Shire Of Sandstone",Sandstone,"Shire Of Sandstone"
WA404,"WA404 - Shire Of Cue",Cue,"Shire Of Cue"
WA400,"WA400 - Shire Of Leonora",Leonora,"Shire Of Leonora"
QLD126,"QLD126 - Richmond Shire",Richmond,"Richmond Shire"
QLD123,"QLD123 - Quilpie Shire",Quilpie,"Quilpie Shire"
QLD141,"QLD141 - Torres Shire",Torres,"Torres Shire"
QLD142,"QLD142 - Townsville City",Townsville,"Townsville City"
QLD89,"QLD89 - Logan City",Logan,"Logan City"
QLD97,"QLD97 - Mckinlay Shire",Mckinlay,"Mckinlay Shire"
QLD150,"QLD150 - Weipa Town",Weipa,"Weipa Town"
QLD152,"QLD152 - Winton Shire",Winton,"Winton Shire"
QLD269,"QLD269 - Barcaldine Regional",Barcaldine,"Barcaldine Regional"
QLD271,"QLD271 - Bundaberg Regional",Bundaberg,"Bundaberg Regional"
QLD272,"QLD272 - Cairns Regional",Cairns,"Cairns Regional"
QLD273,"QLD273 - Cassowary Coast Regional","Cassowary Coast","Cassowary Coast Regional"
QLD274,"QLD274 - Central Highlands Regional","Central Highlands","Central Highlands Regional"
QLD270,"QLD270 - Blackall Tambo Regional","Blackall Tambo","Blackall Tambo Regional"
QLD279,"QLD279 - Goondiwindi Regional",Goondiwindi,"Goondiwindi Regional"
QLD275,"QLD275 - Charters Towers Regional","Charters Towers","Charters Towers Regional"
QLD277,"QLD277 - Fraser Coast Regional","Fraser Coast","Fraser Coast Regional"
QLD278,"QLD278 - Gladstone Regional",Gladstone,"Gladstone Regional"
QLD282,"QLD282 - Lockyer Valley Regional","Lockyer Valley","Lockyer Valley Regional"
QLD283,"QLD283 - Longreach Regional",Longreach,"Longreach Regional"
QLD284,"QLD284 - Mackay Regional",Mackay,"Mackay Regional"
QLD285,"QLD285 - Moreton Bay Regional","Moreton Bay","Moreton Bay Regional"
QLD280,"QLD280 - Gympie Regional",Gympie,"Gympie Regional"
QLD281,"QLD281 - Isaac Regional",Isaac,"Isaac Regional"
QLD286,"QLD286 - North Burnett Regional","North Burnett","North Burnett Regional"
QLD287,"QLD287 - Northern Peninsula Area Regional","Northern Peninsula Area","Northern Peninsula Area Regional"
QLD288,"QLD288 - Redland City",Redland,"Redland City"
QLD289,"QLD289 - Rockhampton Regional",Rockhampton,"Rockhampton Regional"
QLD293,"QLD293 - South Burnett Regional","South Burnett","South Burnett Regional"
QLD294,"QLD294 - Southern Downs Regional","Southern Downs","Southern Downs Regional"
QLD295,"QLD295 - Sunshine Coast Regional","Sunshine Coast","Sunshine Coast Regional"
QLD296,"QLD296 - Tablelands Regional",Tablelands,"Tablelands Regional"
QLD291,"QLD291 - Scenic Rim Regional","Scenic Rim","Scenic Rim Regional"
QLD292,"QLD292 - Somerset Regional",Somerset,"Somerset Regional"
QLD297,"QLD297 - Toowoomba Regional",Toowoomba,"Toowoomba Regional"
QLD298,"QLD298 - Torres Strait Island Regional","Torres Strait Island","Torres Strait Island Regional"
QLD299,"QLD299 - Whitsunday Regional",Whitsunday,"Whitsunday Regional"
QLD19,"QLD19 - Boulia Shire",Boulia,"Boulia Shire"
QLD9,"QLD9 - Barcoo Shire",Barcoo,"Barcoo Shire"
QLD309,"QLD309 - Pormpuraaw Aboriginal Shire",Pormpuraaw,"Pormpuraaw Aboriginal Shire"
QLD5,"QLD5 - Balonne Shire",Balonne,"Balonne Shire"
QLD7,"QLD7 - Banana Shire",Banana,"Banana Shire"
QLD306,"QLD306 - Palm Island Aboriginal Shire","Palm Island","Palm Island Aboriginal Shire"
QLD307,"QLD307 - Wujal Wujal Aboriginal Shire","Wujal Wujal","Wujal Wujal Aboriginal Shire"
QLD308,"QLD308 - Kowanyama Aboriginal Shire",Kowanyama,"Kowanyama Aboriginal Shire"
QLD301,"QLD301 - Doomadgee Aboriginal Shire",Doomadgee,"Doomadgee Aboriginal Shire"
QLD3,"QLD3 - Aurukun Shire",Aurukun,"Aurukun Shire"
QLD302,"QLD302 - Lockhart River Aboriginal Shire","Lockhart River","Lockhart River Aboriginal Shire"
QLD303,"QLD303 - Napranum Aboriginal Shire",Napranum,"Napranum Aboriginal Shire"
QLD304,"QLD304 - Mapoon Aboriginal Shire",Mapoon,"Mapoon Aboriginal Shire"
